stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
34,0.5,8.5,31.870450165995862,,31.862041957996553,31.870450165995862,32.3599126249901,32.3599126249901,32.3599126249901,32.65458241599845,34.4570665829815,left,-8.5,1,1,2.08335637502023,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
35,0.5,8.5,34.46564795798622,,34.457470207998995,34.46564795798622,34.9544614579936,34.9544614579936,34.959518957999535,35.24137566599529,37.05728275000001,left,-8.5,1,1,2.0907551249838434,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
36,0.5,8.5,37.06638799997745,,37.05779754099785,37.06638799997745,37.55449287497322,37.55449287497322,37.55956170798163,37.842564915976254,38.74004129099194,right,8.5,1,1,1.1727115840185434,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
37,0.5,8.0,38.74894699998549,,38.74042774998816,38.74894699998549,39.23777795798378,39.23777795798378,39.24324958299985,39.5258334579994,39.68999754099059,right,8.0,1,1,0.44158125002286397,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
38,0.5,8.0,39.6989408749796,,39.69029212498572,39.6989408749796,40.187816249992466,40.187816249992466,40.19263112498447,40.474558624991914,40.68872208299581,right,8.0,1,1,0.48796962498454377,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
39,0.5,8.0,40.69271654100157,,40.68901212498895,40.69271654100157,41.18791662500007,41.18791662500007,41.18791662500007,41.47593620797852,41.69012529097381,right,8.0,1,1,0.48874587498721667,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
40,0.5,7.5,41.6991783749836,,41.690431832976174,41.6991783749836,42.18780508299824,42.18780508299824,42.19283591597923,42.47530749998987,42.67683024998405,left,-7.5,1,1,0.4868124579952564,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
41,0.5,7.5,42.68703474997892,,42.67729591598618,42.68703474997892,43.17633020799258,43.17633020799258,43.17633020799258,43.471213332988555,43.52673008298734,left,-7.5,1,1,0.3476808340055868,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
42,0.5,7.5,43.537017124996055,,43.52707237499999,43.537017124996055,44.021195749985054,44.021195749985054,44.02622354097548,44.308251749986084,44.50555308299954,right,7.5,1,1,0.47698895799112506,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
43,0.5,7.0,44.510794707981404,,44.505869499989785,44.510794707981404,44.99337254097918,44.99337254097918,45.004765457997564,45.29204095798195,45.373548499977915,right,7.0,1,1,0.3667627920222003,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
44,0.5,7.0,45.38314141597948,,45.37388833297882,45.38314141597948,45.87101662499481,45.87101662499481,45.8762958329753,46.15861183300149,46.21089670798392,left,-7.0,0,0,0.3355357499967795,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
45,0.5,7.5,46.22052241599886,,46.211235124996165,46.22052241599886,46.7092144159833,46.7092144159833,46.7092144159833,47.00447820799309,48.00668416600092,right,7.5,0,0,1.288923916989006,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
46,0.5,8.0,48.015238290972775,,48.00698741598171,48.015238290972775,48.504490457999054,48.504490457999054,48.50958183300099,48.79196758297621,49.22486266598571,right,8.0,1,1,0.710815124999499,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
